SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
365880,2.5511,3.6523,-0.1090,0.1034,-0.0344,0.0652,0
366046,2.5556,3.6550,-0.0999,0.0597,0.0690,0.1535,0
366213,2.5440,3.6651,-0.1283,0.0212,-0.0024,0.1285,0
366380,2.5472,3.6571,-0.0897,-0.0422,0.0205,0.1495,0
366546,2.5576,3.6524,-0.0963,0.1550,0.0476,0.1024,0
366713,2.5630,3.6487,-0.0812,-0.0568,-0.0274,0.1929,0
366880,2.5455,3.6443,-0.1050,-0.0197,-0.0096,0.1402,0
367047,2.5293,3.6048,-0.1330,-0.1580,-0.0468,0.1729,0
367213,2.5137,3.5358,-0.1403,0.0075,-0.1017,0.0805,0
367380,2.5219,3.4300,-0.1174,-0.1720,-0.1458,0.0592,0
367547,2.6082,3.2159,-0.0806,-0.5904,-0.2287,0.0926,0
367713,2.8267,2.6932,0.0623,-1.4373,-0.1239,0.3651,0
367880,3.2135,1.6789,0.3625,-2.3423,-0.2535,0.5412,0
368047,3.7384,0.0303,0.8676,-2.7561,-0.0779,0.7500,0
368213,4.2313,-2.2101,1.4340,-2.7739,0.0486,0.7285,0
368380,4.5845,-4.9402,1.9276,-3.0668,0.0046,0.5141,0
368547,4.8110,-8.1604,2.2964,-3.2898,-0.0848,0.0229,0
368713,4.8749,-11.8148,2.4958,-2.4593,0.7667,-0.2075,0
368880,4.7063,-15.7512,2.7252,-2.4716,0.4325,-0.7471,0
369047,4.4430,-20.0419,2.9427,-2.4130,-0.0165,-1.4682,0
369213,4.0524,-24.5537,3.0492,-1.8021,0.2575,-1.7219,0
369380,3.5672,-29.2176,2.9595,-1.4099,0.7543,-1.8457,0
369547,3.0282,-33.7915,2.5194,-0.5541,0.9653,-1.8556,0
369713,2.6600,-38.0830,1.5707,0.3118,0.9093,-1.5900,0
369880,2.4250,-42.1750,0.3460,-0.0566,0.8671,-1.6184,0
370047,2.4618,-46.2765,-1.3561,-1.1134,1.3886,-2.0003,0
370213,2.5464,-50.4610,-3.3093,-0.6967,0.9129,-2.3537,0
370380,2.7227,-54.8668,-5.2440,0.0173,1.1666,-2.6108,0
370547,3.6613,-59.3075,-7.8376,0.8475,1.3208,-1.2143,0
370713,4.6592,-63.6930,-10.1224,1.5769,0.6614,-0.5894,0
370880,5.6287,-67.8683,-12.1335,2.0358,-0.3999,-0.0484,0
371047,7.3919,-71.6277,-14.9870,1.9901,-0.7906,-0.4086,0
371213,10.8839,-75.1349,-19.6914,1.5197,0.1597,-0.9426,0
371380,15.6557,-78.5441,-25.6534,1.7660,-0.0273,0.1648,0
371547,21.0691,-81.8765,-32.0667,2.5697,-0.9331,0.5928,0
